workorderid,productid,orderqty,scrappedqty,startdate,enddate,duedate,scrapreasonid,modifieddate
1,722,8,0,06/03/11,06/13/11,06/14/11,90,06/13/11
2,725,15,0,06/03/11,06/13/11,06/14/11,19,06/13/11
3,726,9,0,06/03/11,06/13/11,06/14/11,75,06/13/11
4,729,16,0,06/03/11,06/13/11,06/14/11,106,06/13/11
5,730,14,0,06/03/11,06/13/11,06/14/11,98,06/13/11
6,732,16,0,06/03/11,06/13/11,06/14/11,50,06/13/11
7,733,4,0,06/03/11,06/13/11,06/14/11,66,06/13/11
8,738,19,0,06/03/11,06/13/11,06/14/11,73,06/13/11
9,741,2,0,06/03/11,06/13/11,06/14/11,58,06/13/11
10,742,3,0,06/03/11,06/13/11,06/14/11,105,06/13/11
11,743,1,0,06/03/11,06/13/11,06/14/11,62,06/13/11
12,745,1,0,06/03/11,06/13/11,06/14/11,14,06/13/11
13,747,4,0,06/03/11,06/19/11,06/14/11,26,06/19/11
14,748,2,0,06/03/11,06/19/11,06/14/11,106,06/19/11
15,749,4,0,06/03/11,06/19/11,06/14/11,50,06/19/11
16,753,14,0,06/03/11,06/19/11,06/14/11,96,06/19/11
17,754,27,0,06/03/11,06/19/11,06/14/11,58,06/19/11
18,755,11,0,06/03/11,06/19/11,06/14/11,58,06/19/11
19,756,14,0,06/03/11,06/19/11,06/14/11,23,06/19/11
20,758,46,0,06/03/11,06/19/11,06/14/11,38,06/19/11
21,760,43,0,06/03/11,06/19/11,06/14/11,63,06/19/11
22,761,19,0,06/03/11,06/19/11,06/14/11,41,06/19/11
23,762,44,0,06/03/11,06/19/11,06/14/11,18,06/19/11
24,763,20,0,06/03/11,06/19/11,06/14/11,8,06/19/11
25,764,14,0,06/03/11,06/19/11,06/14/11,103,06/19/11
26,765,30,0,06/03/11,06/19/11,06/14/11,30,06/19/11
27,766,11,0,06/03/11,06/19/11,06/14/11,21,06/19/11
28,767,1,0,06/03/11,06/19/11,06/14/11,1,06/19/11
29,768,13,0,06/03/11,06/19/11,06/14/11,67,06/19/11
30,770,29,0,06/03/11,06/19/11,06/14/11,90,06/19/11
31,771,10,0,06/03/11,06/19/11,06/14/11,39,06/19/11
32,772,5,0,06/03/11,06/19/11,06/14/11,48,06/19/11
33,773,17,0,06/03/11,06/19/11,06/14/11,78,06/19/11
34,774,7,0,06/03/11,06/19/11,06/14/11,80,06/19/11
35,775,22,0,06/03/11,06/19/11,06/14/11,56,06/19/11
36,776,16,0,06/03/11,06/19/11,06/14/11,8,06/19/11
