title,department,policy_text,topic
Performance Review Policy,HR,Employees receive formal performance reviews annually.,hr_lifecycle
Dress Code Policy,HR,Employees are expected to dress in business casual attire.,general
Warranty Policy,Support,Products are covered under warranty for one year.,legal_records
Account Management Policy,Operations,Accounts must be reviewed quarterly.,access_accounts
Anti-Harassment Policy,HR,Harassment of any kind is not tolerated.,ethics_compliance
Recognition Program Policy,HR,Employees may nominate peers for recognition awards.,general
Software Installation Policy,IT,Only approved software may be installed on company devices.,general
Workplace Accommodation Policy,HR,Employees may request reasonable accommodations.,general
Data Privacy Policy,Legal,Employees must protect customer data and follow privacy regulations.,data_privacy
Work From Abroad Policy,HR,Employees may work abroad for up to 30 days with approval.,leave_time
File Naming Policy,Operations,Files must follow naming conventions for easy retrieval.,general
Churn Prevention Policy,Marketing,Customer churn must be analyzed and addressed.,customer_support
Event Sponsorship Policy,Marketing,Event sponsorships must align with company goals.,marketing_comms
Company Vehicle Policy,Operations,Use of company vehicles must be logged and approved.,facilities_safety
Onboarding Policy,HR,New hires must complete onboarding within their first week.,hr_lifecycle
Legal Hold Policy,Legal,Legal holds must be applied to relevant documents.,legal_records
Budget Planning Policy,Finance,Departments must submit budgets by Q4.,general
Holiday Schedule Policy,HR,Company holidays are published annually and observed accordingly.,leave_time
Support Ticket Policy,IT,Support tickets must be resolved within SLA.,customer_support
Supplier Evaluation Policy,Operations,Suppliers must be evaluated annually.,procurement_suppliers
Parking Policy,Facilities,Parking spaces are assigned and must be used accordingly.,facilities_safety
Equal Opportunity Policy,Operations,The company is committed to equal opportunity employment.,general
Customer Interaction Policy,Operations,Employees must maintain professionalism in all customer interactions.,general
Customer Feedback Policy,Operations,Customer feedback must be logged and reviewed.,customer_support
Marketing Approval Policy,Marketing,Marketing materials must be approved before release.,marketing_comms
Remote Work Policy,HR,Employees may work remotely up to three days per week with manager approval.,leave_time
Code of Conduct,HR,All employees must adhere to professional behavior standards.,ethics_compliance
Meeting Room Booking Policy,Operations,Meeting rooms must be booked in advance using the portal.,operations_process
Internal Communication Policy,Operations,Use company channels for internal communication.,marketing_comms
Mobile Device Policy,IT,Employees may request company-issued mobile devices for work.,devices_assets
Training Reimbursement Policy,Finance,Employees may be reimbursed for approved external training.,travel_expense
Client Gift Policy,Operations,Client gifts must comply with company guidelines.,ethics_compliance
Campaign Review Policy,Operations,Marketing campaigns must be reviewed quarterly.,marketing_comms
Employee Referral Policy,Operations,Employees may refer candidates for open positions.,hr_lifecycle
Offer Letter Policy,Operations,Offer letters must follow approved templates.,hr_lifecycle
Work Anniversary Recognition Policy,HR,Employees are recognized on their work anniversaries.,general
Conflict of Interest Policy,Legal,Employees must disclose any potential conflicts of interest.,ethics_compliance
Business Continuity Policy,Operations,Departments must maintain business continuity plans.,operations_process
Office Supplies Policy,Facilities,Office supplies must be ordered through the approved vendor.,facilities_safety
System Downtime Policy,IT,Planned downtimes are communicated in advance.,operations_process
Delivery Confirmation Policy,Operations,Deliveries must be confirmed upon receipt.,customer_support
Hardware Upgrade Policy,Operations,Hardware upgrades must be requested through IT.,devices_assets
Exit Interview Policy,HR,Departing employees are encouraged to participate in an exit interview.,hr_lifecycle
Security Incident Policy,IT,Security incidents must be reported immediately.,security
Promotion Policy,HR,Promotions are based on performance and business needs.,hr_lifecycle
Sales Incentive Policy,Sales,Sales incentives must be documented and approved.,general
Probation Period Policy,HR,New hires are subject to a 90-day probation period.,hr_lifecycle
Mentorship Program Policy,HR,Employees may participate in the mentorship program.,hr_lifecycle
Public Speaking Policy,Marketing,Employees must get approval before public speaking engagements.,marketing_comms
Sustainability Policy,Operations,Departments should consider sustainability in operations.,general
Remote Access Policy,IT,Remote access must use secure VPN connections.,access_accounts
Incident Response Policy,IT,Incident response procedures must be followed during disruptions.,general
Inventory Management Policy,Finance,Inventory must be tracked and reconciled monthly.,operations_process
Asset Disposal Policy,Operations,IT assets must be disposed of securely.,devices_assets
Meeting Minutes Policy,Operations,Meeting minutes must be documented and shared.,operations_process
Office Access Policy,Facilities,Access badges must be worn and not shared.,facilities_safety
Product Return Policy,Support,Returns must follow the documented return process.,customer_support
Email Signature Policy,Operations,All employees must use the approved email signature format.,marketing_comms
Cloud Storage Policy,Operations,Use approved cloud storage for company documents.,security
Shipping Policy,Finance,Shipping must use approved carriers.,legal_records
Social Media Policy,Marketing,Employees must not disclose confidential information on social media.,marketing_comms
Remote Meeting Policy,Operations,Remote meetings should use approved video conferencing tools.,general
Interview Panel Policy,HR,Interview panels must include diverse representation.,hr_lifecycle
Expense Approval Policy,Finance,All expenses over $500 require prior approval from Finance.,travel_expense
Customer Onboarding Policy,HR,New customers must complete onboarding steps.,hr_lifecycle
Document Retention Policy,Operations,Documents must be retained according to legal requirements.,legal_records
Cybersecurity Awareness Policy,Operations,Employees must complete annual cybersecurity training.,security
Corporate Card Policy,Finance,Corporate card usage must comply with expense guidelines.,travel_expense
Flexible Hours Policy,Operations,Employees may adjust work hours with manager approval.,leave_time
Sick Leave Policy,HR,Employees accrue sick leave monthly for personal or family illness.,leave_time
Social Event Policy,Marketing,Social events must be approved and budgeted.,general
Content Publishing Policy,Operations,Content must be reviewed before publishing.,marketing_comms
Team Building Policy,Operations,Team building events must be approved and budgeted.,facilities_safety
Home Office Equipment Policy,HR,Employees may request ergonomic equipment for remote work.,devices_assets
Laptop Usage Policy,IT,Company laptops must be used for business purposes only.,leave_time
Procurement Policy,Finance,All purchases must follow the procurement process.,procurement_suppliers
Bereavement Leave Policy,HR,Employees may take up to 5 days of bereavement leave.,leave_time
Disaster Recovery Policy,Operations,IT must maintain disaster recovery protocols.,general
Petty Cash Policy,Finance,Petty cash usage must be documented and reconciled monthly.,travel_expense
Brand Guidelines Policy,Marketing,All materials must follow brand guidelines.,marketing_comms
Project Kickoff Policy,Engineering,Projects must begin with a formal kickoff meeting.,engineering_it
Contract Review Policy,Operations,Contracts must be reviewed by Legal before signing.,legal_records
Parental Leave Policy,HR,Eligible employees may take up to 12 weeks of paid parental leave.,leave_time
Background Check Policy,Operations,All new hires must pass background checks.,general
Tuition Assistance Policy,HR,Employees may apply for tuition assistance for approved programs.,general
Internet Usage Policy,IT,Company internet should be used for work-related activities only.,general
Whistleblower Policy,Legal,Employees may report unethical behavior anonymously.,ethics_compliance
Exit Clearance Policy,Operations,Departing employees must complete exit clearance.,general
Vendor Management Policy,Finance,Vendors must be approved and reviewed annually.,procurement_suppliers
Quality Assurance Policy,Engineering,Products must pass quality checks before release.,general
Conference Attendance Policy,Legal,Employees may attend conferences with prior approval.,legal_records
Media Contact Policy,Operations,Only authorized employees may speak to the media.,general
Diversity and Inclusion Policy,Operations,The company promotes a diverse and inclusive workplace.,general
Workplace Safety Policy,Facilities,Employees must follow safety procedures and report hazards.,facilities_safety
Workplace Cleanliness Policy,Facilities,Employees are responsible for maintaining clean workspaces.,facilities_safety
Helpdesk Ticket Policy,IT,All IT issues must be submitted via helpdesk ticket.,customer_support
Meeting Etiquette Policy,Operations,Meetings should start on time and follow an agenda.,general
Lead Management Policy,Sales,Sales leads must be tracked in the CRM.,general
IT Asset Management Policy,IT,All IT assets must be tracked and returned upon exit.,devices_assets
Password Policy,IT,Passwords must be changed every 90 days and meet complexity requirements.,security
Travel Reimbursement Policy,Finance,Employees must submit receipts for travel expenses within 30 days.,travel_expense
Press Release Policy,Legal,Press releases must be approved by Marketing and Legal.,marketing_comms
Vacation Policy,HR,Employees receive 15 vacation days per year. Unused days may roll over.,leave_time
Escalation Policy,Operations,Customer issues must follow the escalation process.,customer_support
Job Posting Policy,HR,All internal job postings are listed on the company portal.,general
Company Property Policy,Operations,Employees must return company property upon exit.,devices_assets
Change Management Policy,Engineering,Changes to systems must follow the change management process.,operations_process
Renewal Policy,Finance,Renewals must be initiated 60 days before expiration.,legal_records
