title,department,policy_text
Performance Review Policy,Sales,Employees receive formal performance reviews annually.
Dress Code Policy,Facilities,Employees are expected to dress in business casual attire.
Warranty Policy,Sales,Products are covered under warranty for one year.
Account Management Policy,Sales,Accounts must be reviewed quarterly.
Anti-Harassment Policy,Marketing,Harassment of any kind is not tolerated.
Recognition Program Policy,Facilities,Employees may nominate peers for recognition awards.
Software Installation Policy,Sales,Only approved software may be installed on company devices.
Workplace Accommodation Policy,Finance,Employees may request reasonable accommodations.
Data Privacy Policy,Operations,Employees must protect customer data and follow privacy regulations.
Work From Abroad Policy,Facilities,Employees may work abroad for up to 30 days with approval.
File Naming Policy,Marketing,Files must follow naming conventions for easy retrieval.
Churn Prevention Policy,Sales,Customer churn must be analyzed and addressed.
Event Sponsorship Policy,Facilities,Event sponsorships must align with company goals.
Company Vehicle Policy,Legal,Use of company vehicles must be logged and approved.
Onboarding Policy,Sales,New hires must complete onboarding within their first week.
Legal Hold Policy,IT,Legal holds must be applied to relevant documents.
Budget Planning Policy,HR,Departments must submit budgets by Q4.
Holiday Schedule Policy,Facilities,Company holidays are published annually and observed accordingly.
Support Ticket Policy,Operations,Support tickets must be resolved within SLA.
Supplier Evaluation Policy,Facilities,Suppliers must be evaluated annually.
Parking Policy,HR,Parking spaces are assigned and must be used accordingly.
Equal Opportunity Policy,HR,The company is committed to equal opportunity employment.
Customer Interaction Policy,Operations,Employees must maintain professionalism in all customer interactions.
Customer Feedback Policy,Operations,Customer feedback must be logged and reviewed.
Marketing Approval Policy,Operations,Marketing materials must be approved before release.
Remote Work Policy,Facilities,Employees may work remotely up to three days per week with manager approval.
Code of Conduct,Legal,All employees must adhere to professional behavior standards.
Meeting Room Booking Policy,Sales,Meeting rooms must be booked in advance using the portal.
Internal Communication Policy,IT,Use company channels for internal communication.
Mobile Device Policy,IT,Employees may request company-issued mobile devices for work.
Training Reimbursement Policy,Sales,Employees may be reimbursed for approved external training.
Client Gift Policy,HR,Client gifts must comply with company guidelines.
Campaign Review Policy,HR,Marketing campaigns must be reviewed quarterly.
Employee Referral Policy,Finance,Employees may refer candidates for open positions.
Offer Letter Policy,Marketing,Offer letters must follow approved templates.
Work Anniversary Recognition Policy,Marketing,Employees are recognized on their work anniversaries.
Conflict of Interest Policy,Marketing,Employees must disclose any potential conflicts of interest.
Business Continuity Policy,HR,Departments must maintain business continuity plans.
Office Supplies Policy,Operations,Office supplies must be ordered through the approved vendor.
System Downtime Policy,Operations,Planned downtimes are communicated in advance.
Delivery Confirmation Policy,Marketing,Deliveries must be confirmed upon receipt.
Hardware Upgrade Policy,IT,Hardware upgrades must be requested through IT.
Exit Interview Policy,Facilities,Departing employees are encouraged to participate in an exit interview.
Security Incident Policy,IT,Security incidents must be reported immediately.
Promotion Policy,Finance,Promotions are based on performance and business needs.
Sales Incentive Policy,Marketing,Sales incentives must be documented and approved.
Probation Period Policy,Facilities,New hires are subject to a 90-day probation period.
Mentorship Program Policy,HR,Employees may participate in the mentorship program.
Public Speaking Policy,Legal,Employees must get approval before public speaking engagements.
Sustainability Policy,Finance,Departments should consider sustainability in operations.
Remote Access Policy,Legal,Remote access must use secure VPN connections.
Incident Response Policy,Legal,Incident response procedures must be followed during disruptions.
Inventory Management Policy,Sales,Inventory must be tracked and reconciled monthly.
Asset Disposal Policy,Sales,IT assets must be disposed of securely.
Meeting Minutes Policy,Sales,Meeting minutes must be documented and shared.
Office Access Policy,HR,Access badges must be worn and not shared.
Product Return Policy,Marketing,Returns must follow the documented return process.
Email Signature Policy,HR,All employees must use the approved email signature format.
Cloud Storage Policy,Operations,Use approved cloud storage for company documents.
Shipping Policy,HR,Shipping must use approved carriers.
Social Media Policy,Finance,Employees must not disclose confidential information on social media.
Remote Meeting Policy,Operations,Remote meetings should use approved video conferencing tools.
Interview Panel Policy,HR,Interview panels must include diverse representation.
Expense Approval Policy,Legal,All expenses over $500 require prior approval from Finance.
Customer Onboarding Policy,HR,New customers must complete onboarding steps.
Document Retention Policy,Legal,Documents must be retained according to legal requirements.
Cybersecurity Awareness Policy,Marketing,Employees must complete annual cybersecurity training.
Corporate Card Policy,Operations,Corporate card usage must comply with expense guidelines.
Flexible Hours Policy,HR,Employees may adjust work hours with manager approval.
Sick Leave Policy,Sales,Employees accrue sick leave monthly for personal or family illness.
Social Event Policy,Finance,Social events must be approved and budgeted.
Content Publishing Policy,Marketing,Content must be reviewed before publishing.
Team Building Policy,Finance,Team building events must be approved and budgeted.
Home Office Equipment Policy,Legal,Employees may request ergonomic equipment for remote work.
Laptop Usage Policy,IT,Company laptops must be used for business purposes only.
Procurement Policy,Marketing,All purchases must follow the procurement process.
Bereavement Leave Policy,Legal,Employees may take up to 5 days of bereavement leave.
Disaster Recovery Policy,Facilities,IT must maintain disaster recovery protocols.
Petty Cash Policy,Legal,Petty cash usage must be documented and reconciled monthly.
Brand Guidelines Policy,Facilities,All materials must follow brand guidelines.
Project Kickoff Policy,IT,Projects must begin with a formal kickoff meeting.
Contract Review Policy,Finance,Contracts must be reviewed by Legal before signing.
Parental Leave Policy,Marketing,Eligible employees may take up to 12 weeks of paid parental leave.
Background Check Policy,Sales,All new hires must pass background checks.
Tuition Assistance Policy,HR,Employees may apply for tuition assistance for approved programs.
Internet Usage Policy,Finance,Company internet should be used for work-related activities only.
Whistleblower Policy,HR,Employees may report unethical behavior anonymously.
Exit Clearance Policy,Sales,Departing employees must complete exit clearance.
Vendor Management Policy,Marketing,Vendors must be approved and reviewed annually.
Quality Assurance Policy,HR,Products must pass quality checks before release.
Conference Attendance Policy,Operations,Employees may attend conferences with prior approval.
Media Contact Policy,Finance,Only authorized employees may speak to the media.
Diversity and Inclusion Policy,Operations,The company promotes a diverse and inclusive workplace.
Workplace Safety Policy,HR,Employees must follow safety procedures and report hazards.
Workplace Cleanliness Policy,Sales,Employees are responsible for maintaining clean workspaces.
Helpdesk Ticket Policy,Operations,All IT issues must be submitted via helpdesk ticket.
Meeting Etiquette Policy,Facilities,Meetings should start on time and follow an agenda.
Lead Management Policy,Finance,Sales leads must be tracked in the CRM.
IT Asset Management Policy,Facilities,All IT assets must be tracked and returned upon exit.
Password Policy,HR,Passwords must be changed every 90 days and meet complexity requirements.
Travel Reimbursement Policy,Facilities,Employees must submit receipts for travel expenses within 30 days.
Press Release Policy,Legal,Press releases must be approved by Marketing and Legal.
Vacation Policy,IT,Employees receive 15 vacation days per year. Unused days may roll over.
Escalation Policy,Facilities,Customer issues must follow the escalation process.
Job Posting Policy,Legal,All internal job postings are listed on the company portal.
Company Property Policy,Facilities,Employees must return company property upon exit.
Change Management Policy,HR,Changes to systems must follow the change management process.
Renewal Policy,Legal,Renewals must be initiated 60 days before expiration.
