host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_group_cleansed,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price
0,1,1,Queen Anne,98119,Apartment,Entire home/apt,4,1.0,1,1,85.00
1,1,1,Queen Anne,98119,Apartment,Entire home/apt,4,1.0,1,1,150.00
0,1,1,Queen Anne,98119,House,Entire home/apt,11,4.5,5,7,975.00
0,1,1,Queen Anne,98119,Apartment,Entire home/apt,3,1.0,0,2,100.00
0,1,1,Queen Anne,98119,House,Entire home/apt,6,2.0,3,3,450.00
0,1,1,Queen Anne,98119,House,Private room,2,1.0,1,1,120.00
1,1,1,Queen Anne,98119,House,Private room,2,1.0,1,1,80.00
1,1,1,Queen Anne,98119,Cabin,Private room,2,1.0,1,1,60.00
0,1,1,Queen Anne,98109,Apartment,Private room,2,1.0,1,1,90.00
1,1,1,Queen Anne,98119,Apartment,Entire home/apt,4,1.0,1,1,150.00
1,1,1,Queen Anne,98119,House,Entire home/apt,2,1.0,1,1,95.00
0,1,1,Queen Anne,98119,House,Entire home/apt,2,1.0,1,1,99.00
1,1,1,Queen Anne,98119,Apartment,Entire home/apt,4,1.0,2,3,245.00
0,1,1,Queen Anne,98119,House,Entire home/apt,5,1.0,2,3,165.00
0,1,1,Queen Anne,98119,House,Entire home/apt,16,3.5,6,15,461.00
0,1,0,Queen Anne,98119,House,Entire home/apt,5,1.0,2,2,109.00
0,1,1,Queen Anne,98119,Apartment,Private room,2,1.0,1,1,66.00
1,1,1,Queen Anne,98119,House,Private room,2,1.0,1,1,99.00
0,1,1,Queen Anne,98119,Apartment,Private room,2,2.0,1,1,200.00
0,1,1,Queen Anne,98119,House,Entire home/apt,10,3.5,5,5,700.00
0,1,1,Queen Anne,98119,Condominium,Entire home/apt,1,1.0,1,1,110.00
0,1,0,Queen Anne,98119,House,Private room,3,1.5,1,2,99.00
0,1,0,Queen Anne,98119,House,Entire home/apt,8,2.0,4,4,450.00
0,1,0,Queen Anne,98119,House,Private room,2,1.0,1,1,75.00
0,1,0,Queen Anne,98119,House,Entire home/apt,5,2.5,3,3,600.00
0,1,1,Queen Anne,98119,House,Entire home/apt,8,2.5,3,5,450.00
0,1,1,Queen Anne,98119,House,Entire home/apt,5,1.0,2,3,150.00
1,1,1,Queen Anne,98119,Camper/RV,Private room,2,1.0,1,1,45.00
0,1,1,Queen Anne,98119,Apartment,Entire home/apt,6,2.0,3,3,300.00
0,1,1,Queen Anne,98119,Apartment,Entire home/apt,3,1.0,1,2,80.00
1,1,1,Queen Anne,98119,Apartment,Entire home/apt,4,1.0,1,1,175.00
0,1,1,Queen Anne,98119,House,Entire home/apt,6,1.5,3,3,325.00
0,1,1,Queen Anne,98119,House,Entire home/apt,4,3.0,3,2,175.00
0,1,1,Queen Anne,98119,House,Entire home/apt,7,3.5,4,3,222.00
0,1,0,Queen Anne,98119,Apartment,Entire home/apt,4,1.0,2,2,159.00
0,1,1,Queen Anne,98119,Apartment,Entire home/apt,4,1.0,1,2,125.00
0,1,1,Queen Anne,98119,House,Entire home/apt,8,3.0,3,3,348.00
0,1,0,Queen Anne,98119,House,Private room,1,1.0,1,1,45.00
0,1,1,Queen Anne,98119,Apartment,Entire home/apt,4,1.0,1,2,150.00
1,1,1,Queen Anne,98109,Apartment,Entire home/apt,2,1.0,0,1,80.00
0,1,1,Queen Anne,98119,Apartment,Entire home/apt,4,1.0,1,2,110.00
0,1,1,Queen Anne,98119,House,Entire home/apt,3,1.0,1,2,148.00
0,1,1,Queen Anne,98119,House,Entire home/apt,4,1.5,2,2,350.00
1,1,1,Queen Anne,98119,Apartment,Entire home/apt,3,1.5,1,2,150.00
0,1,1,Queen Anne,98109,House,Private room,5,1.0,1,1,150.00
0,1,1,Queen Anne,98119,Apartment,Entire home/apt,2,1.0,0,1,100.00
0,1,1,Queen Anne,98119,Bungalow,Entire home/apt,10,3.0,4,4,349.00
0,1,1,Queen Anne,98119,Bungalow,Entire home/apt,2,1.0,0,1,110.00
0,1,1,Queen Anne,98119,House,Entire home/apt,4,1.0,1,2,160.00
0,1,1,Queen Anne,98119,House,Entire home/apt,4,1.0,1,3,130.00
0,1,1,Queen Anne,98119,House,Entire home/apt,2,1.0,0,1,99.00
0,1,1,Queen Anne,98119,Apartment,Entire home/apt,2,1.0,0,1,100.00
0,1,1,Queen Anne,98119,Apartment,Entire home/apt,3,1.0,1,1,137.00
0,1,0,Queen Anne,98119,Apartment,Private room,3,1.0,1,1,20.00
0,1,1,Queen Anne,98119,Townhouse,Entire home/apt,2,1.5,1,1,150.00
0,1,1,Queen Anne,98119,Apartment,Entire home/apt,2,1.0,1,1,145.00
0,1,1,Queen Anne,98119,Townhouse,Private room,2,1.0,1,1,80.00
1,1,1,Queen Anne,98119,House,Entire home/apt,2,1.0,0,1,95.00
0,1,0,Queen Anne,98119,House,Entire home/apt,4,2.5,3,3,400.00
0,1,1,Queen Anne,98119,House,Private room,2,2.0,1,1,85.00
0,1,1,Queen Anne,98119,Apartment,Private room,2,1.0,1,1,70.00
1,1,1,Queen Anne,98119,Apartment,Entire home/apt,2,1.0,0,1,90.00
0,1,0,Queen Anne,98119,House,Private room,2,1.0,1,1,80.00
1,1,1,Queen Anne,98119,Camper/RV,Private room,2,1.0,1,2,60.00
0,1,0,Queen Anne,98119,House,Entire home/apt,4,1.0,2,2,175.00
0,1,1,Ballard,98107,House,Entire home/apt,6,2.5,3,4,170.00
0,1,1,Ballard,98107,Apartment,Entire home/apt,2,1.0,1,1,85.00
1,1,1,Ballard,98107,House,Entire home/apt,12,3.5,5,7,465.00
0,1,1,Ballard,98107,Apartment,Entire home/apt,2,1.0,1,1,175.00
0,1,0,Ballard,98107,Condominium,Private room,2,1.0,1,1,50.00
0,1,0,Ballard,98107,Apartment,Private room,2,1.0,1,1,60.00
0,1,1,Ballard,98107,House,Private room,2,1.0,1,1,59.00
0,1,1,Ballard,98107,Apartment,Private room,4,1.0,1,4,47.00
0,1,1,Ballard,98107,House,Entire home/apt,4,1.0,2,2,145.00
0,1,1,Ballard,98107,House,Private room,2,1.0,1,1,70.00
0,1,1,Ballard,98107,House,Private room,2,1.0,1,1,55.00
1,1,1,Ballard,98107,House,Private room,4,1.0,1,2,95.00
0,1,1,Ballard,98107,House,Private room,2,1.0,1,1,125.00
0,1,1,Ballard,98107,House,Private room,2,1.0,1,1,65.00
0,1,1,Ballard,98107,House,Private room,1,1.0,1,1,25.00
0,1,1,Ballard,98107,House,Entire home/apt,4,1.0,0,2,40.00
0,1,1,Ballard,98107,House,Entire home/apt,6,1.0,3,4,149.00
1,1,1,Ballard,98107,Apartment,Entire home/apt,2,1.5,1,1,125.00
0,1,1,Ballard,98107,House,Private room,2,0.5,1,1,55.00
1,1,1,Ballard,98107,Apartment,Entire home/apt,4,1.0,1,3,129.00
0,1,1,Ballard,98107,Apartment,Entire home/apt,2,1.0,1,1,100.00
1,1,0,Ballard,98107,Apartment,Entire home/apt,4,2.0,2,2,150.00
0,1,1,Ballard,98107,Townhouse,Private room,1,1.0,1,1,50.00
0,1,1,Ballard,98117,Apartment,Entire home/apt,6,1.0,2,3,99.00
0,1,1,Ballard,98107,Apartment,Entire home/apt,2,1.5,1,1,150.00
0,1,1,Ballard,98107,Bungalow,Entire home/apt,4,1.0,1,3,105.00
0,1,1,Ballard,98107,House,Entire home/apt,7,4.0,3,3,218.00
0,1,1,Ballard,98117,House,Entire home/apt,5,1.5,2,2,80.00
0,1,0,Ballard,98107,Apartment,Entire home/apt,2,1.0,1,1,126.00
0,1,0,Ballard,98107,Apartment,Entire home/apt,4,1.0,1,2,115.00
0,1,1,Ballard,98107,Apartment,Entire home/apt,4,2.0,2,2,225.00
1,1,1,Ballard,98107,Cabin,Entire home/apt,2,1.0,1,1,89.00
0,1,1,Ballard,98107,House,Entire home/apt,8,2.5,3,5,225.00
0,1,0,Ballard,98107,House,Entire home/apt,1,1.0,0,1,50.00
1,1,1,Ballard,98107,Apartment,Entire home/apt,4,1.0,1,2,134.00
0,1,1,Ballard,98107,Apartment,Entire home/apt,2,1.0,1,1,75.00
0,1,1,Ballard,98107,House,Private room,2,1.0,1,1,65.00
0,1,1,Ballard,98107,House,Entire home/apt,6,2.5,3,4,375.00
1,1,1,Ballard,98107,House,Entire home/apt,3,1.0,1,2,97.00
